133CEm: E(keV)=58.39, I(%)=19.3(0.4), N=13876(285), A(Bq)=108557(24072), chi^2_nu=0.77
133CEg: E(keV)=76.9, I(%)=15.9(2.3), N=553(2454728), A(Bq)=3728(16550010), chi^2_nu=23.68
135CE: E(keV)=86.97, I(%)=0.418(0.014), N=3733(249961), A(Bq)=789904(52891969), chi^2_nu=4.65
133CEm: E(keV)=87.939, I(%)=5.15(0.12), N=16858(518445), A(Bq)=290776(8942546), chi^2_nu=2.3
133CEg: E(keV)=97.261, I(%)=46.0(7.0), N=7194(9376849783), A(Bq)=13232(17247399749), chi^2_nu=4.0
133CEm: E(keV)=97.261, I(%)=1.76(0.04), N=4959(9376136676), A(Bq)=228484(432003337073), chi^2_nu=4.06
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=14052(441), A(Bq)=751974(81054), chi^2_nu=0.06
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=63626(759), A(Bq)=239917(27398), chi^2_nu=2.67
133CEm: E(keV)=178.65, I(%)=1.22(0.04), N=5827(536), A(Bq)=310836(48562), chi^2_nu=1.13
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=76876(777), A(Bq)=654190(67412), chi^2_nu=4.42
133CEm: E(keV)=248.95, I(%)=1.34(0.03), N=2671(369), A(Bq)=146090(28248), chi^2_nu=1.52
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=15028(402), A(Bq)=98753(11310), chi^2_nu=1.59
133CEm: E(keV)=261.396, I(%)=1.74(0.04), N=2065(773), A(Bq)=89781(35832), chi^2_nu=20.79
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=324553(1217), A(Bq)=584912(66291), chi^2_nu=8.54
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=14358(1540), A(Bq)=1754911(291244), chi^2_nu=9.68
133LA: E(keV)=278.835, I(%)=2.44(0.13), N=13264(735), A(Bq)=433578(58177), chi^2_nu=2.85
133LA: E(keV)=290.06, I(%)=1.38(0.06), N=6671(1369), A(Bq)=398184(94838), chi^2_nu=1.22
133LA: E(keV)=291.17, I(%)=0.425(0.019), N=1668(23503), A(Bq)=324331(4570235), chi^2_nu=1.43
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=1347(14683), A(Bq)=89308(973651), chi^2_nu=21.03
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=164025(1808), A(Bq)=580131(68562), chi^2_nu=5.28
133LA: E(keV)=302.38, I(%)=1.61(0.08), N=11585(1119), A(Bq)=614764(97468), chi^2_nu=2.93
133CEm: E(keV)=307.3, I(%)=0.94(0.04), N=753(579), A(Bq)=69097(54219), chi^2_nu=7.32
