#ZVView-data-copy:   9-Jan-2019 12:32:42
#=======================================
#
#name:   57-LA-139(P,N)58-CE-139-G,M+,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  8
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          34.7            5       0.0421       0.0043  # 1962,G.Albouy+           ## B0106006
          37.7          4.7       0.0547       0.0052  # 1962,G.Albouy+           ## B0106006
          57.9          3.5       0.0273       0.0032  # 1962,G.Albouy+           ## B0106006
          64.1          3.7       0.0216       0.0025  # 1962,G.Albouy+           ## B0106006
          78.6          3.2       0.0219       0.0023  # 1962,G.Albouy+           ## B0106006
          89.3          3.5       0.0185       0.0024  # 1962,G.Albouy+           ## B0106006
           112          3.2       0.0152       0.0018  # 1962,G.Albouy+           ## B0106006
           128            3       0.0142        0.002  # 1962,G.Albouy+           ## B0106006
//
#-------------------------------------------------------------------------------
#
#name:   57-LA-139(P,N)58-CE-139,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  22
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         33.73         0.66      0.01768      0.00218  # 2017,F.Tarkanyi+         ## D4375002
         34.74         0.64       0.0215       0.0027  # 2017,F.Tarkanyi+         ## D4375002
         36.24         0.62      0.01924      0.00216  # 2017,F.Tarkanyi+         ## D4375002
         37.19          0.6      0.02338      0.00282  # 2017,F.Tarkanyi+         ## D4375002
         38.55         0.58      0.01709      0.00209  # 2017,F.Tarkanyi+         ## D4375002
         39.45         0.57      0.01543      0.00185  # 2017,F.Tarkanyi+         ## D4375002
          40.8         0.55      0.01572      0.00207  # 2017,F.Tarkanyi+         ## D4375002
         41.66         0.54      0.01335      0.00186  # 2017,F.Tarkanyi+         ## D4375002
          42.9         0.52      0.01511      0.00231  # 2017,F.Tarkanyi+         ## D4375002
         43.73         0.51      0.01702      0.00217  # 2017,F.Tarkanyi+         ## D4375002
         44.94         0.49      0.01257      0.00217  # 2017,F.Tarkanyi+         ## D4375002
         45.74         0.48      0.01669      0.00257  # 2017,F.Tarkanyi+         ## D4375002
