# p + 139La: Production of 132Cs - Total
# Q-value    =-1.82294E+01 mass= 131.906433
# E-threshold= 1.83616E+01
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 0.00000E+00
 1.90000E+01 0.00000E+00
 2.00000E+01 0.00000E+00
 2.20000E+01 0.00000E+00
 2.40000E+01 0.00000E+00
 2.60000E+01 0.00000E+00
 2.80000E+01 0.00000E+00
 3.00000E+01 0.00000E+00
 3.50000E+01 3.02391E-08
 4.00000E+01 1.46836E-05
 4.50000E+01 3.56217E-04
 5.00000E+01 5.29530E-03
 5.50000E+01 3.80718E-02
 6.00000E+01 1.01281E-01
 6.50000E+01 1.47457E-01
 7.00000E+01 1.68040E-01
 7.50000E+01 1.73272E-01
 8.00000E+01 1.75469E-01
 9.00000E+01 2.26142E-01
 1.00000E+02 4.44864E-01
 1.10000E+02 9.22565E-01
 1.20000E+02 1.44121E+00
 1.30000E+02 1.84634E+00
 1.40000E+02 2.22328E+00
 1.50000E+02 2.72737E+00
 1.60000E+02 3.11941E+00
 1.80000E+02 3.41610E+00
 2.00000E+02 3.60953E+00
