# p + 139La: Production of 133Ba - Ground state
# Q-value    =-1.90249E+01 mass= 132.906007
# E-threshold= 1.91629E+01
# # energies =    45
#     E          xs      Branching
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00
 2.60000E+01 4.17044E-09 7.54086E-01
 2.80000E+01 1.60116E-06 5.15562E-01
 3.00000E+01 8.98146E-05 4.40927E-01
 3.50000E+01 7.14929E-02 3.69721E-01
 4.00000E+01 9.01161E-01 3.38240E-01
 4.50000E+01 2.06135E+00 3.27709E-01
 5.00000E+01 2.35084E+00 3.19507E-01
 5.50000E+01 2.15611E+00 3.23845E-01
 6.00000E+01 1.91525E+00 3.27932E-01
 6.50000E+01 1.85043E+00 3.26504E-01
 7.00000E+01 2.10125E+00 3.26731E-01
 7.50000E+01 2.81538E+00 3.41543E-01
 8.00000E+01 3.86775E+00 3.59637E-01
 9.00000E+01 6.24885E+00 3.67805E-01
 1.00000E+02 8.26281E+00 3.68985E-01
 1.10000E+02 9.58000E+00 3.77794E-01
 1.20000E+02 1.05744E+01 3.75228E-01
 1.30000E+02 1.12729E+01 3.80137E-01
 1.40000E+02 1.18237E+01 3.78679E-01
 1.50000E+02 1.19835E+01 3.76093E-01
 1.60000E+02 1.20174E+01 3.79805E-01
 1.80000E+02 1.19869E+01 3.78639E-01
 2.00000E+02 1.17645E+01 3.83186E-01
