# p + 139La: Production of 133Ba - Level  2     0.28825 MeV
# Q-value    =-1.93132E+01 mass= 132.906007
# E-threshold= 1.94532E+01
# # energies =    45
#     E          xs      Branching
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00
 1.90000E+01 0.00000E+00 0.00000E+00
 2.00000E+01 0.00000E+00 0.00000E+00
 2.20000E+01 0.00000E+00 0.00000E+00
 2.40000E+01 0.00000E+00 0.00000E+00
 2.60000E+01 1.36001E-09 2.45914E-01
 2.80000E+01 1.50450E-06 4.84438E-01
 3.00000E+01 1.13880E-04 5.59073E-01
 3.50000E+01 1.21877E-01 6.30279E-01
 4.00000E+01 1.76310E+00 6.61760E-01
 4.50000E+01 4.22884E+00 6.72291E-01
 5.00000E+01 5.00687E+00 6.80493E-01
 5.50000E+01 4.50175E+00 6.76155E-01
 6.00000E+01 3.92514E+00 6.72068E-01
 6.50000E+01 3.81698E+00 6.73496E-01
 7.00000E+01 4.32988E+00 6.73269E-01
 7.50000E+01 5.42772E+00 6.58457E-01
 8.00000E+01 6.88684E+00 6.40363E-01
 9.00000E+01 1.07407E+01 6.32195E-01
 1.00000E+02 1.41306E+01 6.31015E-01
 1.10000E+02 1.57777E+01 6.22206E-01
 1.20000E+02 1.76068E+01 6.24772E-01
 1.30000E+02 1.83820E+01 6.19863E-01
 1.40000E+02 1.93999E+01 6.21321E-01
 1.50000E+02 1.98796E+01 6.23907E-01
 1.60000E+02 1.96235E+01 6.20195E-01
 1.80000E+02 1.96710E+01 6.21361E-01
 2.00000E+02 1.89373E+01 6.16814E-01
