# p + 139La: Production of 134Ce - Total
# Q-value    =-4.35347E+01 mass= 133.908928
# E-threshold= 4.38504E+01
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 0.00000E+00
 1.90000E+01 0.00000E+00
 2.00000E+01 0.00000E+00
 2.20000E+01 0.00000E+00
 2.40000E+01 0.00000E+00
 2.60000E+01 0.00000E+00
 2.80000E+01 0.00000E+00
 3.00000E+01 0.00000E+00
 3.50000E+01 0.00000E+00
 4.00000E+01 0.00000E+00
 4.50000E+01 2.96785E-02
 5.00000E+01 2.59541E+01
 5.50000E+01 1.72225E+02
 6.00000E+01 2.85562E+02
 6.50000E+01 2.43419E+02
 7.00000E+01 1.46755E+02
 7.50000E+01 8.67036E+01
 8.00000E+01 5.95297E+01
 9.00000E+01 3.72056E+01
 1.00000E+02 2.64360E+01
 1.10000E+02 1.99089E+01
 1.20000E+02 1.56098E+01
 1.30000E+02 1.27199E+01
 1.40000E+02 1.05244E+01
 1.50000E+02 9.04023E+00
 1.60000E+02 7.92157E+00
 1.80000E+02 6.16471E+00
 2.00000E+02 4.98095E+00
