# p + 139La: Production of 135La - Total
# Q-value    =-2.43885E+01 mass= 134.906984
# E-threshold= 2.45654E+01
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 0.00000E+00
 1.90000E+01 0.00000E+00
 2.00000E+01 0.00000E+00
 2.20000E+01 0.00000E+00
 2.40000E+01 0.00000E+00
 2.60000E+01 0.00000E+00
 2.80000E+01 2.51998E-08
 3.00000E+01 8.49191E-05
 3.50000E+01 2.03765E-01
 4.00000E+01 1.96473E+00
 4.50000E+01 1.16435E+01
 5.00000E+01 4.11611E+01
 5.50000E+01 8.02397E+01
 6.00000E+01 1.07879E+02
 6.50000E+01 1.20241E+02
 7.00000E+01 1.26137E+02
 7.50000E+01 1.29258E+02
 8.00000E+01 1.30145E+02
 9.00000E+01 1.25948E+02
 1.00000E+02 1.20708E+02
 1.10000E+02 1.15947E+02
 1.20000E+02 1.10273E+02
 1.30000E+02 1.06200E+02
 1.40000E+02 1.01365E+02
 1.50000E+02 9.85531E+01
 1.60000E+02 9.14640E+01
 1.80000E+02 8.56326E+01
 2.00000E+02 8.07332E+01
