# p + 139La: Production of 137Ce - Ground state
# Q-value    =-1.82348E+01 mass= 136.907762
# E-threshold= 1.83670E+01
# # energies =    45
#     E          xs      Branching
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00
 1.90000E+01 3.31217E+00 5.46024E-01
 2.00000E+01 2.83822E+01 4.00744E-01
 2.20000E+01 1.38621E+02 3.20320E-01
 2.40000E+01 2.08715E+02 2.73470E-01
 2.60000E+01 2.22271E+02 2.39169E-01
 2.80000E+01 2.09667E+02 2.12403E-01
 3.00000E+01 1.65392E+02 1.76466E-01
 3.50000E+01 5.08565E+01 1.10168E-01
 4.00000E+01 2.37922E+01 1.22449E-01
 4.50000E+01 1.82136E+01 1.43947E-01
 5.00000E+01 1.51393E+01 1.50788E-01
 5.50000E+01 1.30366E+01 1.56823E-01
 6.00000E+01 1.12459E+01 1.59277E-01
 6.50000E+01 9.85221E+00 1.61296E-01
 7.00000E+01 8.74315E+00 1.63523E-01
 7.50000E+01 7.72345E+00 1.63442E-01
 8.00000E+01 6.88974E+00 1.63556E-01
 9.00000E+01 5.57400E+00 1.63607E-01
 1.00000E+02 4.62027E+00 1.65122E-01
 1.10000E+02 3.90225E+00 1.65039E-01
 1.20000E+02 3.33896E+00 1.64672E-01
 1.30000E+02 2.93828E+00 1.65951E-01
 1.40000E+02 2.59069E+00 1.65653E-01
 1.50000E+02 2.33493E+00 1.65742E-01
 1.60000E+02 2.11129E+00 1.66285E-01
 1.80000E+02 1.74808E+00 1.66396E-01
 2.00000E+02 1.47856E+00 1.67880E-01
