# p + 139La: Production of 137Ce - Level  2     0.25429 MeV
# Q-value    =-1.84891E+01 mass= 136.907762
# E-threshold= 1.86231E+01
# # energies =    45
#     E          xs      Branching
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00
 1.50000E+01 0.00000E+00 0.00000E+00
 1.60000E+01 0.00000E+00 0.00000E+00
 1.70000E+01 0.00000E+00 0.00000E+00
 1.80000E+01 0.00000E+00 0.00000E+00
 1.90000E+01 2.75381E+00 4.53976E-01
 2.00000E+01 4.24416E+01 5.99256E-01
 2.20000E+01 2.94136E+02 6.79680E-01
 2.40000E+01 5.54496E+02 7.26530E-01
 2.60000E+01 7.07073E+02 7.60831E-01
 2.80000E+01 7.77452E+02 7.87597E-01
 3.00000E+01 7.71853E+02 8.23534E-01
 3.50000E+01 4.10771E+02 8.89832E-01
 4.00000E+01 1.70510E+02 8.77551E-01
 4.50000E+01 1.08316E+02 8.56053E-01
 5.00000E+01 8.52622E+01 8.49212E-01
 5.50000E+01 7.00932E+01 8.43177E-01
 6.00000E+01 5.93601E+01 8.40723E-01
 6.50000E+01 5.12295E+01 8.38704E-01
 7.00000E+01 4.47243E+01 8.36477E-01
 7.50000E+01 3.95315E+01 8.36558E-01
 8.00000E+01 3.52350E+01 8.36444E-01
 9.00000E+01 2.84954E+01 8.36393E-01
 1.00000E+02 2.33607E+01 8.34878E-01
 1.10000E+02 1.97421E+01 8.34961E-01
 1.20000E+02 1.69374E+01 8.35328E-01
 1.30000E+02 1.47674E+01 8.34049E-01
 1.40000E+02 1.30485E+01 8.34347E-01
 1.50000E+02 1.17528E+01 8.34258E-01
 1.60000E+02 1.05856E+01 8.33715E-01
 1.80000E+02 8.75748E+00 8.33604E-01
 2.00000E+02 7.32866E+00 8.32120E-01
