# p +  63Cu: Production of  61Cu - Total
# Q-value    =-1.12563E+01 mass=  60.933457
# E-threshold= 1.14365E+01
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.30000E+01 6.28992E-08
 1.40000E+01 7.76935E-05
 1.50000E+01 1.91065E-03
 1.60000E+01 9.14369E-03
 1.70000E+01 2.15419E-02
 1.80000E+01 3.94644E-02
 1.90000E+01 7.68532E-02
 2.00000E+01 1.49576E-01
 2.20000E+01 6.72380E-01
 2.40000E+01 8.32071E+00
 2.60000E+01 4.11291E+01
 2.80000E+01 9.72951E+01
 3.00000E+01 1.54075E+02
 3.50000E+01 2.04119E+02
 4.00000E+01 1.56052E+02
 4.50000E+01 1.19091E+02
 5.00000E+01 1.02221E+02
 5.50000E+01 9.25809E+01
 6.00000E+01 8.59644E+01
 6.50000E+01 8.00836E+01
 7.00000E+01 7.54563E+01
 7.50000E+01 7.11132E+01
 8.00000E+01 6.68910E+01
 9.00000E+01 5.86447E+01
 1.00000E+02 5.18742E+01
 1.10000E+02 4.73992E+01
 1.20000E+02 4.29955E+01
 1.30000E+02 3.93353E+01
 1.40000E+02 3.58063E+01
 1.50000E+02 3.33454E+01
 1.60000E+02 3.07329E+01
 1.80000E+02 2.73178E+01
 2.00000E+02 2.40434E+01
